dataset,algorithm,variant,metric,metric_group,n,mean,median,trimean,best_25,worst_25,max,min
nus8,cheng,prc_0_5,angular_error,single_illuminant_errors,1736,2.724227,1.965424,2.129281,0.59908,6.14896,18.841849,0.042232
nus8,cheng,prc_0_5,recovery_angular_error,single_illuminant_errors,1736,2.724227,1.965424,2.129281,0.59908,6.14896,18.841849,0.042232
nus8,cheng,prc_0_5,recovery_delta_e_2000,single_illuminant_errors,1736,2.400707,1.747841,1.893955,0.497413,5.439109,17.300625,0.036546
nus8,cheng,prc_0_5,reproduction_angular_error,single_illuminant_errors,1736,3.716375,2.534691,2.822871,0.734478,8.616197,27.152166,0.043846
nus8,cheng,prc_0_5,reproduction_delta_e_2000,single_illuminant_errors,1736,5.445763,4.351614,4.630768,1.492377,11.233684,24.665458,0.145672
nus8,fast_awb,default,angular_error,single_illuminant_errors,1736,4.109327,3.129862,3.330794,0.897209,9.069193,22.370541,0.021221
nus8,fast_awb,default,recovery_angular_error,single_illuminant_errors,1736,4.109327,3.129862,3.330794,0.897209,9.069193,22.370541,0.021221
nus8,fast_awb,default,recovery_delta_e_2000,single_illuminant_errors,1736,3.505929,2.65185,2.85787,0.740838,7.779995,20.44884,0.0155
nus8,fast_awb,default,reproduction_angular_error,single_illuminant_errors,1736,5.413942,4.253222,4.489349,1.136347,11.806305,24.702974,0.032381
nus8,fast_awb,default,reproduction_delta_e_2000,single_illuminant_errors,1736,7.396869,6.349405,6.638318,2.193074,14.284543,24.833326,0.051261
nus8,gray_edge,first_order,angular_error,single_illuminant_errors,1736,4.168107,3.46187,3.672357,1.347469,8.090674,20.268326,0.028186
nus8,gray_edge,first_order,recovery_angular_error,single_illuminant_errors,1736,4.168107,3.46187,3.672357,1.347469,8.090674,20.268326,0.028186
nus8,gray_edge,first_order,recovery_delta_e_2000,single_illuminant_errors,1736,3.500493,2.868253,3.050411,1.067046,6.958906,17.613373,0.022134
nus8,gray_edge,first_order,reproduction_angular_error,single_illuminant_errors,1736,5.092199,4.296373,4.517426,1.6104,9.89575,25.769398,0.03852
nus8,gray_edge,first_order,reproduction_delta_e_2000,single_illuminant_errors,1736,8.398505,7.769993,7.862168,3.33814,14.507405,24.838555,0.059724
nus8,gray_pixels,qian_gi,angular_error,single_illuminant_errors,1736,4.128753,2.83762,3.203824,0.846519,9.522567,25.717937,0.050344
nus8,gray_pixels,qian_gi,recovery_angular_error,single_illuminant_errors,1736,4.128753,2.83762,3.203824,0.846519,9.522567,25.717937,0.050344
nus8,gray_pixels,qian_gi,recovery_delta_e_2000,single_illuminant_errors,1736,3.606516,2.425603,2.745921,0.69345,8.53501,34.308158,0.039033
nus8,gray_pixels,qian_gi,reproduction_angular_error,single_illuminant_errors,1736,5.452304,3.898973,4.292404,1.087505,12.458944,29.426497,0.049678
nus8,gray_pixels,qian_gi,reproduction_delta_e_2000,single_illuminant_errors,1736,7.571339,6.145233,6.531283,2.109431,15.527052,27.824901,0.17076
nus8,gray_pixels,yang,angular_error,single_illuminant_errors,1736,3.418255,2.43564,2.761087,0.747732,7.736201,18.131074,0.028768
nus8,gray_pixels,yang,recovery_angular_error,single_illuminant_errors,1736,3.418255,2.43564,2.761087,0.747732,7.736201,18.131074,0.028768
nus8,gray_pixels,yang,recovery_delta_e_2000,single_illuminant_errors,1736,2.928418,2.120154,2.361352,0.615489,6.621725,15.82122,0.025428
nus8,gray_pixels,yang,reproduction_angular_error,single_illuminant_errors,1736,4.628956,3.335176,3.755651,0.946529,10.47288,24.254211,0.037123
nus8,gray_pixels,yang,reproduction_delta_e_2000,single_illuminant_errors,1736,6.450585,5.160581,5.64009,1.861761,12.947161,25.251539,0.070153
nus8,gray_world,naive,angular_error,single_illuminant_errors,1736,4.097846,3.094329,3.319624,0.908251,9.037818,22.415089,0.076863
nus8,gray_world,naive,recovery_angular_error,single_illuminant_errors,1736,4.097846,3.094329,3.319624,0.908251,9.037818,22.415089,0.076863
nus8,gray_world,naive,recovery_delta_e_2000,single_illuminant_errors,1736,3.49183,2.604105,2.823267,0.74699,7.744625,20.66061,0.061878
nus8,gray_world,naive,reproduction_angular_error,single_illuminant_errors,1736,5.398075,4.220776,4.457988,1.140073,11.768738,24.689484,0.081098
nus8,gray_world,naive,reproduction_delta_e_2000,single_illuminant_errors,1736,7.392722,6.310216,6.630194,2.237619,14.242865,24.832871,0.207647
nus8,local_space_average_color,default,mean_angular_error,multi_illuminant_errors,1736,5.088779,4.201292,4.458441,1.999843,9.576514,26.138258,0.732513
nus8,local_space_average_color,default,mean_recovery_angular_error,multi_illuminant_errors,1736,5.088779,4.201292,4.458441,1.999843,9.576514,26.138258,0.732513
nus8,local_space_average_color,default,mean_recovery_delta_e_2000,multi_illuminant_errors,1736,4.351702,3.619463,3.816154,1.698595,8.239427,25.290742,0.541956
